text,reply_count,keyword
"Saying The Quiet Part Out Loud Dept.-Kinda sounds like he's admitting he interfered in the election with VERY specific statistics.

I quit Twitter because he bought it, way before his confession he stole the election for the Orange Atrocity. 🍊💩  

Now I'm SURE I made the right decision! 👍",1996,quit twitter
Kind of a perfect metaphor for the media and the role they've played over the last ten years,505,twitter is dead
The rank obliviousness to the inherent paradox in his abject fucking stupidity is so next level as to be almost a thing of wonder.,140,twitter refugee
"alright I’m quitting twitter, I’m really gonna quit this time. checking in to the methadone app.",135,quit twitter
Do you think that Elon Musk interfered in the 2024 presidential election?,131,elon
"Elon's baby mama, Ashley St. Clair, says Elon knew the election results in 2024 hours before anyone else did, and he claimed this was because his satellites were scooping up data.

www.rawstory.com/elon-musk-26...",116,elon
"one will likely not be mobbed or mugged here but one will likely not feel a quickening of the heart, a jab of adrenaline.
Twitter may be a ""cesspool""-- at least in some quarters--but I think of it as lively like the old Madison Square Garden: raucous, unpredictable, obnoxious, good fun,  surprises.",106,twitter
"The two main reasons I quit Twitter/X were:
1. I refused to produce free content to make money for a white supremacist who was spreading lies.
2. The platform became a Nazi clubhouse.
What were your reasons?",93,quit twitter
"Twitter vs Threads vs BlueSky 

Have definitely noticed way more engagement on threads in the last six months. 

Via Tech Crunch",83,bluesky vs twitter
"I’m a Twitter refugee.
I cover war, power, and disinformation — focused on Ukraine, Europe, the U.S, and democratic resilience.

I stand on the side of democracy
Blue team, aligned with Democratic values: rule of law, international law, accountability, and cross-border solidarity
go.bsky.app/UT4NbaH",83,twitter refugee
